4.1.59       Canalisation PVC bâtiment Ø 90 mm;;ML;;0,220;;8,80;;11,00;12,64;21,44;23,64;
4.1.60       Canalisation PVC bâtiment Ø 100 mm;;ML;;0,230;;9,20;;11,50;13,36;22,56;24,86;
4.1.61       Canalisation PVC bâtiment Ø 110 mm;;ML;;0,230;;9,20;;11,50;14,30;23,50;25,80;
4.1.62       Canalisation PVC bâtiment Ø 125 mm;;ML;;0,230;;9,20;;11,50;14,57;23,77;26,07;
4.1.63       Canalisation PVC bâtiment Ø 140 mm;;ML;;0,240;;9,60;;12,00;15,05;24,65;27,05;
4.1.64       Canalisation PVC bâtiment Ø 160 mm;;ML;;0,240;;9,60;;12,00;15,73;25,33;27,73;
4.1.65       Canalisation PVC bâtiment Ø 200 mm;;ML;;0,250;;10,00;;12,50;20,58;30,58;33,08;
4.1.66       Canalisation PVC bâtiment Ø 250 mm;;ML;;0,260;;10,40;;13,00;24,10;34,50;37,10;
4.1.67       Canalisation PVC bâtiment Ø 315 mm;;ML;;0,280;;11,20;;14,00;28,48;39,68;42,48;
4.1.68       Coude à 45° pour Ø 32 mm;;U;;0,020;;0,80;;1,00;1,23;2,03;2,23;
4.1.69       Coude à 45° pour Ø 40 mm;;U;;0,020;;0,80;;1,00;1,95;2,75;2,95;
4.1.70       Coude à 45° pour Ø 50 mm;;U;;0,020;;0,80;;1,00;3,11;3,91;4,11;
4.1.71       Coude à 45° pour Ø 63 mm;;U;;0,020;;0,80;;1,00;4,56;5,36;5,56;
4.1.72       Coude à 45° pour Ø 75 mm;;U;;0,030;;1,20;;1,50;4,89;6,09;6,39;
4.1.73       Coude à 45° pour Ø 90 mm;;U;;0,030;;1,20;;1,50;8,46;9,66;9,96;
4.1.74       Coude à 45° pour Ø 100 mm;;U;;0,030;;1,20;;1,50;9,20;10,40;10,70;
4.1.75       Coude à 45° pour Ø 110 mm;;U;;0,030;;1,20;;1,50;12,77;13,97;14,27;
4.1.76       Coude à 45° pour Ø 125 mm;;U;;0,030;;1,20;;1,50;13,44;14,64;14,94;
4.1.77       Coude à 45° pour Ø 140 mm;;U;;0,040;;1,60;;2,00;21,64;23,24;23,64;
4.1.78       Coude à 45° pour Ø 160 mm;;U;;0,040;;1,60;;2,00;27,51;29,11;29,51;
4.1.79       Coude à 45° pour Ø 200 mm;;U;;0,040;;1,60;;2,00;61,39;62,99;63,39;
4.1.80       Coude à 45° pour Ø 250 mm;;U;;0,050;;2,00;;2,50;96,37;98,37;98,87;
4.1.81       Coude à 45° pour Ø 315 mm;;U;;0,050;;2,00;;2,50;234,30;236,30;236,80;
4.1.82       Coude à 87°30 pour Ø 32 mm;;U;;0,020;;0,80;;1,00;1,40;2,20;2,40;
4.1.83       Coude à 87°30 pour Ø 40 mm;;U;;0,020;;0,80;;1,00;1,99;2,79;2,99;
4.1.84       Coude à 87°30 pour Ø 50mm;;U;;0,020;;0,80;;1,00;3,69;4,49;4,69;
4.1.85       Coude à 87°30 pour Ø 63 mm;;U;;0,020;;0,80;;1,00;4,58;5,38;5,58;
4.1.86       Coude à 87°30 pour Ø 75 mm;;U;;0,030;;1,20;;1,50;5,08;6,28;6,58;
4.1.87       Coude à 87°30 pour Ø 90 mm;;U;;0,030;;1,20;;1,50;8,50;9,70;10,00;
4.1.88       Coude à 87°30 pour Ø 100 mm;;U;;0,030;;1,20;;1,50;9,39;10,59;10,89;
4.1.89       Coude à 87°30 pour Ø 110 mm;;U;;0,030;;1,20;;1,50;12,89;14,09;14,39;
4.1.90       Coude à 87°30 pour Ø 125 mm;;U;;0,030;;1,20;;1,50;14,22;15,42;15,72;
4.1.91       Coude à 87°30 pour Ø 140 mm;;U;;0,040;;1,60;;2,00;27,12;28,72;29,12;
4.1.92       Coude à 87°30 pour Ø 160 mm;;U;;0,040;;1,60;;2,00;32,87;34,47;34,87;
4.1.93       Coude à 87°30 pour Ø 200 mm;;U;;0,040;;1,60;;2,00;77,79;79,39;79,79;
